precision,recall,f1-score,accuracy
0.0029498525073746312,1.0,0.0058823529411764705,0.155
0.0,0.0,0.0,0.205
0.0,0.0,0.0,0.5825
0.004081632653061225,1.0,0.008130081300813009,0.39
0.0033444816053511705,1.0,0.006666666666666666,0.255
0.0029498525073746312,1.0,0.0058823529411764705,0.155
0.0,0.0,0.0,0.63
0.0028011204481792717,1.0,0.00558659217877095,0.11
0.0031446540880503146,1.0,0.006269592476489028,0.2075
0.003067484662576687,1.0,0.0061162079510703364,0.1875
0.004694835680751174,1.0,0.009345794392523364,0.47
0.0038910505836575876,1.0,0.007751937984496124,0.36
0.002793296089385475,1.0,0.005571030640668524,0.1075
0.0027397260273972603,1.0,0.005464480874316939,0.09
0.003952569169960474,1.0,0.007874015748031496,0.37
0.002890173410404624,1.0,0.005763688760806917,0.1375
0.0,0.0,0.0,0.6475
0.0,0.0,0.0,0.64
0.0036496350364963502,1.0,0.007272727272727273,0.3175
0.0,0.0,0.0,0.4375
0.00411522633744856,1.0,0.00819672131147541,0.395
0.0031446540880503146,1.0,0.006269592476489028,0.2075
0.0,0.0,0.0,0.2275
0.0,0.0,0.0,0.495
0.002570694087403599,1.0,0.005128205128205128,0.03
0.0,0.0,0.0,0.725
0.0038461538461538464,1.0,0.007662835249042146,0.3525
0.0,0.0,0.0,0.3925
0.0,0.0,0.0,0.5225
0.0,0.0,0.0,0.565
0.0,0.0,0.0,0.63
0.0,0.0,0.0,0.1075
0.0,0.0,0.0,0.215
0.0,0.0,0.0,0.4075
0.004032258064516129,1.0,0.008032128514056224,0.3825
0.0,0.0,0.0,0.6175
0.003115264797507788,1.0,0.006211180124223603,0.2
0.0,0.0,0.0,0.495
0.0028011204481792717,1.0,0.00558659217877095,0.11
0.0,0.0,0.0,0.8725
0.004273504273504274,1.0,0.00851063829787234,0.4175
0.004651162790697674,1.0,0.009259259259259259,0.465
0.004201680672268907,1.0,0.008368200836820083,0.4075
0.003067484662576687,1.0,0.0061162079510703364,0.1875
0.0,0.0,0.0,0.33
0.003937007874015748,1.0,0.00784313725490196,0.3675
0.0,0.0,0.0,0.2275
0.0,0.0,0.0,0.6125
0.0,0.0,0.0,0.1875
0.003003003003003003,1.0,0.005988023952095808,0.17
0.0,0.0,0.0,0.36
